Date	Station_Volumn
2017-01-01	20454 
2017-01-02	13893 
2017-01-03	6670 
2017-01-04	7541 
2017-01-05	7262 
2017-01-06	7360 
2017-01-07	8800 
2017-01-08	7862 
2017-01-09	5198 
2017-01-10	6786 
2017-01-11	6725 
2017-01-12	6997 
2017-01-13	5797 
2017-01-14	5639 
2017-01-15	6588 
2017-01-16	5023 
2017-01-17	7696 
2017-01-18	7063 
2017-01-19	6711 
2017-01-20	6303 
2017-01-21	7452 
2017-01-22	9224 
2017-01-23	5716 
2017-01-24	7916 
2017-01-25	5819 
2017-01-26	5253 
2017-01-27	1843 
2017-01-28	19174 
2017-01-29	20160 
2017-01-30	15941 
2017-01-31	18324 
2017-02-01	13265 
2017-02-02	10384 
2017-02-03	13947 
2017-02-04	13495 
2017-02-05	12335 
2017-02-06	7051 
2017-02-07	10590 
2017-02-08	10290 
2017-02-09	6737 
2017-02-10	7681 
2017-02-11	14287 
2017-02-12	9092 
2017-02-13	5945 
2017-02-14	8756 
2017-02-15	7664 
2017-02-16	7725 
2017-02-17	7932 
2017-02-18	10213 
2017-02-19	13574 
2017-02-20	5895 
2017-02-21	6922 
2017-02-22	5906 
2017-02-23	5601 
2017-02-24	5006 
2017-02-25	4704 
2017-02-26	7374 
2017-02-27	14290 
2017-02-28	8488 
2017-03-01	6256 
2017-03-02	5810 
2017-03-03	6526 
2017-03-04	11145 
2017-03-05	12531 
2017-03-06	5176 
2017-03-07	5882 
2017-03-08	5337 
2017-03-09	6235 
2017-03-10	5420 
2017-03-11	10095 
2017-03-12	13420 
2017-03-13	5352 
2017-03-14	5743 
2017-03-15	6437 
2017-03-16	5988 
2017-03-17	7152 
2017-03-18	12943 
2017-03-19	10318 
2017-03-20	6092 
2017-03-21	6395 
2017-03-22	7279 
2017-03-23	6150 
2017-03-24	8495 
2017-03-25	10534 
2017-03-26	9134 
2017-03-27	6470 
2017-03-28	7946 
2017-03-29	7764 
2017-03-30	7644 
2017-03-31	6046 
2017-04-01	11548 
2017-04-02	24519 
2017-04-03	24706 
2017-04-04	18166 
2017-04-05	7967 
2017-04-06	7228 
2017-04-07	7215 
2017-04-08	11651 
2017-04-09	11522 
2017-04-10	6010 
2017-04-11	6040 
2017-04-12	6460 
2017-04-13	7775 
2017-04-14	8438 
2017-04-15	11971 
2017-04-16	11089 
2017-04-17	6079 
2017-04-18	7067 
2017-04-19	7010 
2017-04-20	6890 
2017-04-21	7496 
2017-04-22	6482 
2017-04-23	11421 
2017-04-24	5705 
2017-04-25	7468 
2017-04-26	6308 
2017-04-27	5232 
2017-04-28	8210 
2017-04-29	12539 
2017-04-30	15728 
2017-05-01	11817 
2017-05-02	6956 
2017-05-03	6990 
2017-05-04	7239 
2017-05-05	7066 
2017-05-06	9554 
2017-05-07	10762 
2017-05-08	5842 
2017-05-09	6512 
2017-05-10	6687 
2017-05-11	6423 
2017-05-12	6923 
2017-05-13	6068 
2017-05-14	8597 
2017-05-15	5596 
2017-05-16	5015 
2017-05-17	6888 
2017-05-18	6714 
2017-05-19	7172 
2017-05-20	11237 
2017-05-21	11045 
2017-05-22	6008 
2017-05-23	7076 
2017-05-24	5858 
2017-05-25	5503 
2017-05-26	6818 
2017-05-27	7898 
2017-05-28	15498 
2017-05-29	16293 
2017-05-30	8061 
2017-05-31	6860 
2017-06-01	6642 
2017-06-02	4702 
2017-06-03	5498 
2017-06-04	4697 
