oid,town_na,road_na,site,x,y,CDate,lon,lat
1,板橋區,中山路,人行道,296835.055785,2767104.271466,2013-09-03 16:06:32.65,121.4640281,25.01125406
2,板橋區,中山路,人行道,296921.578991,2767148.822151,2013-09-03 16:06:32.65,121.4648868,25.01165359
3,板橋區,中山路,人行道,298513.933691,2768017.776697,2013-09-03 16:06:32.65,121.4806936,25.0194484
4,板橋區,文化路,人行道,296946.230536,2767930.683848,2013-09-03 16:06:32.65,121.4651576,25.01871153
5,新莊區,思源路,中央分隔島,296390.627489,2771752.762091,2013-09-03 16:06:32.65,121.4597813,25.05323455
6,新莊區,思源路,中央分隔島,296390.454768,2771742.58693,2013-09-03 16:06:32.65,121.4597792,25.0531427
7,新莊區,思源路,中央分隔島,296387.958005,2771737.913196,2013-09-03 16:06:32.65,121.4597543,25.05310058
8,新莊區,思源路,中央分隔島,296390.018689,2771776.515533,2013-09-03 16:06:32.65,121.4597761,25.05344902
9,新莊區,思源路,中央分隔島,296387.494565,2771772.881546,2013-09-03 16:06:32.65,121.4597509,25.05341629
10,新莊區,思源路,中央分隔島,296387.798965,2771760.515734,2013-09-03 16:06:32.65,121.4597535,25.05330464
11,新莊區,思源路,中央分隔島,296388.248724,2771754.260148,2013-09-03 16:06:32.65,121.4597578,25.05324815
12,新莊區,思源路,中央分隔島,296390.080254,2771748.702287,2013-09-03 16:06:32.65,121.4597757,25.05319792
13,新莊區,思源路,中央分隔島,296387.915251,2771745.935328,2013-09-03 16:06:32.65,121.4597542,25.053173
14,新莊區,思源路,人行道,296377.329666,2771760.127539,2013-09-03 16:06:32.65,121.4596498,25.05330146
15,板橋區,文化路,人行道,296942.963605,2767965.659221,2013-09-03 16:06:32.65,121.4651265,25.01902739
16,新莊區,思源路,人行道,296377.709311,2771754.297771,2013-09-03 16:06:32.65,121.4596533,25.05324881
17,新莊區,思源路,人行道,296377.601574,2771747.344459,2013-09-03 16:06:32.65,121.459652,25.05318604
18,新莊區,思源路,人行道,296378.083825,2771731.377152,2013-09-03 16:06:32.65,121.4596563,25.05304187
19,新莊區,思源路,人行道,296377.6905,2771724.189556,2013-09-03 16:06:32.65,121.4596521,25.052977
20,新莊區,思源路,人行道,296378.673813,2771716.697559,2013-09-03 16:06:32.65,121.4596616,25.05290933
21,新莊區,思源路,中央分隔島,296390.524883,2771735.226613,2013-09-03 16:06:32.65,121.4597797,25.05307624
22,新莊區,思源路,中央分隔島,296388.6335,2771731.623406,2013-09-03 16:06:32.65,121.4597608,25.05304377
23,新莊區,思源路,中央分隔島,296390.526989,2771723.737954,2013-09-03 16:06:32.65,121.4597793,25.05297252
24,新莊區,思源路,中央分隔島,296390.899397,2771714.210269,2013-09-03 16:06:32.65,121.4597827,25.0528865
25,新莊區,思源路,中央分隔島,296391.39454,2771701.466253,2013-09-03 16:06:32.65,121.4597872,25.05277143
26,板橋區,文化路,人行道,296946.038364,2767969.887013,2013-09-03 16:06:32.65,121.4651571,25.01906546
27,新莊區,思源路,中央分隔島,296388.69007,2771711.035774,2013-09-03 16:06:32.65,121.4597607,25.05285791
28,新莊區,思源路,中央分隔島,296389.157323,2771705.869533,2013-09-03 16:06:32.65,121.4597652,25.05281125
29,新莊區,思源路,人行道,296379.335357,2771690.529837,2013-09-03 16:06:32.65,121.4596673,25.05267306
30,新莊區,思源路,人行道,296378.949004,2771683.639668,2013-09-03 16:06:32.65,121.4596632,25.05261087
31,新莊區,思源路,人行道,296379.437175,2771677.704921,2013-09-03 16:06:32.65,121.4596679,25.05255728
32,新莊區,思源路,中央分隔島,296389.406994,2771699.127218,2013-09-03 16:06:32.65,121.4597674,25.05275037
33,新莊區,思源路,中央分隔島,296392.086346,2771693.69736,2013-09-03 16:06:32.65,121.4597938,25.05270127
34,新莊區,思源路,中央分隔島,296392.051483,2771667.207867,2013-09-03 16:06:32.65,121.4597925,25.05246212
35,新莊區,思源路,中央分隔島,296389.196386,2771669.574793,2013-09-03 16:06:32.65,121.4597643,25.05248358
36,新莊區,思源路,中央分隔島,296391.278777,2771674.280754,2013-09-03 16:06:32.65,121.4597851,25.052526
37,板橋區,文化路,人行道,296954.686121,2767984.492114,2013-09-03 16:06:32.65,121.4652433,25.01919705
38,新莊區,思源路,中央分隔島,296389.406994,2771678.836089,2013-09-03 16:06:32.65,121.4597667,25.05256718
39,新莊區,思源路,中央分隔島,296391.766948,2771682.080311,2013-09-03 16:06:32.65,121.4597902,25.0525964
40,新莊區,思源路,中央分隔島,296389.42094,2771684.956325,2013-09-03 16:06:32.65,121.4597671,25.05262244
41,新莊區,思源路,中央分隔島,296391.889683,2771688.373519,2013-09-03 16:06:32.65,121.4597916,25.05265321
42,新莊區,思源路,中央分隔島,296389.522757,2771691.126798,2013-09-03 16:06:32.65,121.4597683,25.05267814
43,新莊區,思源路,人行道,296379.75256,2771660.153625,2013-09-03 16:06:32.65,121.4596704,25.05239881
44,新莊區,思源路,人行道,296379.75256,2771654.66865,2013-09-03 16:06:32.65,121.4596702,25.0523493
45,新莊區,思源路,中央分隔島,296392.287281,2771658.353253,2013-09-03 16:06:32.65,121.4597946,25.05238218
46,新莊區,思源路,中央分隔島,296389.081558,2771655.690513,2013-09-03 16:06:32.65,121.4597627,25.05235823
47,新莊區,思源路,中央分隔島,296392.261194,2771654.392407,2013-09-03 16:06:32.65,121.4597942,25.05234642
48,板橋區,文化路,人行道,296958.337396,2767989.296424,2013-09-03 16:06:32.65,121.4652796,25.01924031
49,新莊區,思源路,中央分隔島,296389.055471,2771650.765845,2013-09-03 16:06:32.65,121.4597623,25.05231378
50,新莊區,思源路,中央分隔島,296392.390418,2771648.189658,2013-09-03 16:06:32.65,121.4597953,25.05229042
51,新莊區,思源路,中央分隔島,296388.839693,2771637.042022,2013-09-03 16:06:32.65,121.4597597,25.05218988
52,新莊區,思源路,中央分隔島,296391.75259,2771641.255449,2013-09-03 16:06:32.65,121.4597887,25.05222783
53,新莊區,思源路,中央分隔島,296391.79526,2771635.113167,2013-09-03 16:06:32.65,121.4597889,25.05217238
54,新莊區,思源路,中央分隔島,296388.417643,2771630.520359,2013-09-03 16:06:32.65,121.4597553,25.05213102
55,新莊區,思源路,中央分隔島,296392.020542,2771627.945384,2013-09-03 16:06:32.65,121.4597909,25.05210766
56,新莊區,思源路,中央分隔島,296389.347085,2771621.708257,2013-09-03 16:06:32.65,121.4597642,25.05205143
